Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier
ORD1000,CUST202,Beauty,Credit Card,918.71,20,3,3,4.0,No,Tier 1
ORD1001,CUST279,Electronics,Cash on Delivery,3381.32,20,6,6,4.0,No,Tier 1
ORD1002,CUST192,Home & Kitchen,Debit Card,416.68,5,7,8,4.0,Yes,Tier 1
ORD1003,CUST114,Fashion,Debit Card,792.9,15,7,6,1.0,No,Tier 1
ORD1004,CUST206,Beauty,Cash on Delivery,1770.58,0,5,7,4.0,No,Tier 1
ORD1005,CUST171,Books,upi,2767.12,0,7,6,4.0,No,Tier 1
ORD1006,CUST288,Books,upi,1533.83,0,4,4,4.0,No,Tier 2
ORD1007,CUST120,Fashion,Debit Card,558.37,10,6,8,4.0,No,Tier 3
ORD1008,CUST202,Fashion,UPI,1547.27,10,3,3,2.0,No,Tier 1
ORD1009,CUST221,Fashion,upi,622.41,10,7,7,4.0,Yes,Tier 2
ORD1010,CUST310,Electronics,Cash on Delivery,1720.85,10,6,6,2.0,No,Tier 2
ORD1011,CUST314,Beauty,upi,3895.8,5,7,9,5.0,No,Tier 1
ORD1012,CUST174,Books,Cash on Delivery,1733.55,15,2,2,4.0,No,Tier 3
ORD1013,CUST302,Beauty,Debit Card,2584.28,20,3,5,2.0,No,Tier 2
ORD1014,CUST187,Beauty,upi,202.53,0,2,1,,No,Tier 1
ORD1015,CUST216,Home & Kitchen,Cash on Delivery,1717.2,5,3,4,4.0,No,Tier 2
ORD1016,CUST199,Books,Debit Card,2323.44,15,6,8,1.0,Yes,Tier 1
ORD1017,CUST203,Beauty,UPI,249.69,5,5,5,4.0,No,Tier 2
ORD1018,CUST251,Books,Cash on Delivery,2663.1,15,7,7,3.0,No,Tier 1
ORD1019,CUST230,Electronics,UPI,555.98,5,7,7,5.0,No,Tier 3
ORD1020,CUST249,Fashion,UPI,1513.4,5,4,5,5.0,No,Tier 1
ORD1021,CUST152,Electronics,Credit Card,2133.46,0,2,2,,No,Tier 2
ORD1022,CUST101,Beauty,upi,1504.01,5,7,8,4.0,No,Tier 1
ORD1023,CUST187,Home & Kitchen,Cash on Delivery,316.19,15,6,6,4.0,No,Tier 2
ORD1024,CUST335,Electronics,UPI,1288.56,10,5,5,4.0,No,Tier 2
ORD1025,CUST257,Home & Kitchen,Credit Card,1157.1,20,6,5,2.0,No,Tier 2
ORD1026,CUST137,Home & Kitchen,Debit Card,2966.96,30,2,2,4.0,Yes,Tier 2
ORD1027,CUST229,Fashion,Cash on Delivery,821.5,10,4,4,4.0,No,Tier 2
ORD1028,CUST291,Electronics,UPI,664.7,20,7,9,2.0,No,Tier 3
ORD1029,CUST287,Home & Kitchen,upi,1862.84,5,6,7,3.0,No,Tier 2
ORD1030,CUST120,Fashion,Credit Card,838.61,10,3,3,5.0,No,Tier 3
ORD1031,CUST260,Books,UPI,1446.48,15,5,9,5.0,No,Tier 3
ORD1032,CUST303,Fashion,upi,1447.68,5,6,7,2.0,No,Tier 1
ORD1033,CUST157,Beauty,UPI,2827.53,10,5,9,2.0,No,Tier 1
ORD1034,CUST121,Home & Kitchen,Cash on Delivery,1295.63,0,7,7,3.0,No,Tier 1
ORD1035,CUST335,Home & Kitchen,Cash on Delivery,1036.96,10,3,3,5.0,Yes,Tier 3
ORD1036,CUST188,Beauty,Cash on Delivery,379.41,30,4,3,2.0,No,Tier 1
ORD1037,CUST148,Fashion,Credit Card,347.6,30,4,5,4.0,No,Tier 2
ORD1038,CUST318,Electronics,Cash on Delivery,401.14,15,3,2,2.0,Yes,Tier 3
ORD1039,CUST158,Electronics,upi,426.27,15,5,5,4.0,No,Tier 1
ORD1040,CUST269,Books,UPI,1418.93,10,7,7,3.0,No,Tier 2
ORD1041,CUST319,Home & Kitchen,Debit Card,1821.03,10,6,6,4.0,No,Tier 1
ORD1042,CUST287,Home & Kitchen,upi,1106.01,0,3,4,3.0,No,Tier 1
ORD1043,CUST307,Electronics,upi,2319.43,10,2,2,4.0,No,Tier 2
ORD1044,CUST114,Electronics,Cash on Delivery,5888.26,10,5,5,3.0,No,Tier 1
ORD1045,CUST289,Electronics,Credit Card,2257.84,50,4,5,4.0,No,Tier 1
ORD1046,CUST289,Fashion,UPI,1624.47,10,3,7,5.0,No,Tier 3
ORD1047,CUST274,Home & Kitchen,Credit Card,1112.41,10,4,5,2.0,No,Tier 1
ORD1048,CUST289,Fashion,UPI,914.9,10,5,9,5.0,No,Tier 3
