Order_ID,Customer_ID,Category,Payment_Method,Order_Value,Discount_Percent,Est_Delivery_Days,Actual_Delivery_Days,Customer_Rating,Returned,City_Tier,Delivery_Delay,Fulfillment_Status,High_Value_Order,Net_Revenue
ORD1000,CUST202,Beauty,CREDIT CARD,1194.18,20,3,3,4.0,No,Tier 1,0,On-Time,Same,955.344
ORD1001,CUST279,Electronics,CASH ON DELIVERY,1091.185,20,6,6,4.0,No,Tier 1,0,On-Time,True,872.948
ORD1002,CUST192,Home & Kitchen,DEBIT CARD,1137.04,5,7,8,4.0,Yes,Tier 1,1,Unknown,True,1080.1879999999999
ORD1003,CUST114,Fashion,DEBIT CARD,1006.55,15,7,6,1.0,No,Tier 1,-1,Early,True,855.5675
ORD1004,CUST206,Beauty,CASH ON DELIVERY,1194.18,0,5,7,4.0,No,Tier 1,2,Unknown,Same,1194.18
ORD1005,CUST171,Books,UPI,1146.7800000000002,0,7,6,4.0,No,Tier 1,-1,Early,True,1146.7800000000002
ORD1006,CUST288,Books,UPI,1146.7800000000002,0,4,4,4.0,No,Tier 2,0,On-Time,True,1146.7800000000002
ORD1007,CUST120,Fashion,DEBIT CARD,1006.55,10,6,8,4.0,No,Tier 3,2,Unknown,True,905.895
ORD1008,CUST202,Fashion,UPI,1006.55,10,3,3,2.0,No,Tier 1,0,On-Time,True,905.895
ORD1009,CUST221,Fashion,UPI,1006.55,10,7,7,4.0,Yes,Tier 2,0,On-Time,True,905.895
ORD1010,CUST310,Electronics,CASH ON DELIVERY,1091.185,10,6,6,2.0,No,Tier 2,0,On-Time,True,982.0665
ORD1011,CUST314,Beauty,UPI,1194.18,5,7,9,5.0,No,Tier 1,2,Unknown,Same,1134.471
ORD1012,CUST174,Books,CASH ON DELIVERY,1146.7800000000002,15,2,2,4.0,No,Tier 3,0,On-Time,True,974.7630000000001
ORD1013,CUST302,Beauty,DEBIT CARD,1194.18,20,3,5,2.0,No,Tier 2,2,Unknown,Same,955.344
ORD1014,CUST187,Beauty,UPI,1194.18,0,2,1,4.0,No,Tier 1,-1,Early,Same,1194.18
ORD1015,CUST216,Home & Kitchen,CASH ON DELIVERY,1137.04,5,3,4,4.0,No,Tier 2,1,Unknown,True,1080.1879999999999
ORD1016,CUST199,Books,DEBIT CARD,1146.7800000000002,15,6,8,1.0,Yes,Tier 1,2,Unknown,True,974.7630000000001
ORD1017,CUST203,Beauty,UPI,1194.18,5,5,5,4.0,No,Tier 2,0,On-Time,Same,1134.471
ORD1018,CUST251,Books,CASH ON DELIVERY,1146.7800000000002,15,7,7,3.0,No,Tier 1,0,On-Time,True,974.7630000000001
ORD1019,CUST230,Electronics,UPI,1091.185,5,7,7,5.0,No,Tier 3,0,On-Time,True,1036.62575
ORD1020,CUST249,Fashion,UPI,1006.55,5,4,5,5.0,No,Tier 1,1,Unknown,True,956.2225
